essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total,comments
2,14206374,5,MU,2,2,5,14,"Se introduce bien el tema y hay aspectos de buena argumentación. Sin embargo, no hay una tesis clara ni se argumenta en formato ensayo. Tampoco se presenta contraargumento y hay bastantes errores de ortografía y redacción por mejorar. Ánimo!"
2,14619997,7,"6,5",0,3,0,"16,5","Buena introducción, con una tesis clara y una muy buena contextualización, me gustó que usarás otros ejemplos para introducir la idea. Buena ortografía y redacción. No utilizas todas las lecturas de la semana. Falta un contraargumento. El titulo tiene poco que ver con el enunciado y tu ensayo. Además, las referencias no están hechas de la forma apropiada, por ejemplo, falto usar sangría francesa. Te recomiendo revisar la guía de APA que se encuentra en la página de la biblioteca."
2,15607356,7,7,0,3,0,17,"Bien estructurado e ideas claras. Hay algunos errores ortográficos como: como, donde, esta, el. Faltó un contraargumento que le dé más fuerza a tu tesis y más cohesión entre tus argumentos. Recuerda que al citar dentro del texto debes usar formato APA"
2,15622312,7,6,3,3,0,19,"Contextualizas bien el problema del que vas a hablar, sin embargo, no dejas clara la tesis sobre la cual vas a trabajar. Deberías haber puesto una afirmación, para poder argumentar sobre ella, y luego poder afirmar o rechazar. Tienes muchos errores de ortografía (falta de tildes y errores de tipeo) y de redacción, los cuales dificultan mucho la lectura. Por ejemplo, en el penúltimo párrafo, no ocupas un punto durante 10 líneas. Te recomiendo revisar esto para los otros ensayos. Planteas buenas ideas, las cuales fundamentas bien, sin embargo, no encontré un contraargumento. Recuerda que para las referencias bibliográficas, no debes enumerarlas y las debes poner en orden alfabético desde el apellido del primer autor."
2,15624161,8,MU,3,3,7,21,"La conclusión de tu ensayo es débil y algunos errores de ortografía, además tus citas no están correctamente en APA"
2,15638383,MU,9,3,2,6,20,"Tu ensayo no tiene título.  Contextualizas bien y explicas bien sobre lo que vas a hablar. Propones buenos argumentos y los fundamentas bien, me gusta que pusieras una experiencia personal. Podrías haber profundizado más en el contraargumento, refutándolo más para que quede más claro. Cuentas con muchos errores ortográficos (falta de tildes), para que lo tengas en cuenta en tus próximos ensayos. Debo descontar en aspectos formales, ya que no justificas los párrafos. Faltó citar el video obligatorio para este ensayo, por lo que descuento en fundamentación."
2,15638634,MU,MU,3,3,"10,5","16,5","Lograste abarcar todo lo pedido por el enunciado y fundamentaste bien tus ideas con las lecturas. Sin embargo, la tesis no quedó clara en la introducción. Recuerda que es la postura que vas a defender a través de tus argumentos. Te recomiendo que la inicies con un ""Mi postura/opinión es..."" para que quede más clara. Hay errores ortográficos como: mas, aun, seria, influyo, fallo. Faltó contraargumento y que la conclusión sea un cierre de ideas, confirmar/rechazar tesis y hacer proyecciones. Tiene menos de 1000 palabras. Errores en el formato APA y en los márgenes solicitados"
2,16200055,"6,5","7,5",3,2,0,19,"Buena introducción, queda claro el contexto y la tesis que vas a plantear. Tus ideas son claras y las fundamentas bien! El contraargumento no queda muy claro de la forma en que lo planteas. Tu tesis es que se debe comprar netflix, por lo que debes proponer un contraargumento con respecto a esto (por qué sería mala decisión comprarlo). Lo que tu propones es ponerte en el escenario en que netflix se venda de una manera negativa, y se tome la decisión de no comprarlo por falta de información al respecto. Luego lo refutas diciendo que al buscar información puedes mitigar los efectos en la forma en que se presente netflix. Estas argumentando que la manera en que se presente netflix, es independiente de mi decisión. Podrías haber encontrado una conexión más fuerte con la tesis para que quede más claro. De todas formas, están buenos tus argumentos. Encontré un par de errores ortográficos (falta de tildes) y de redacción. También, la correcta forma de poner las referencias bibliográficas es en orden alfabético desde el apellido del autor, y utilizar la sangría francesa."
2,16206932,10,9,3,3,0,25,"Tu ensayo está completo se identifica claramente la estructura, el unico detalle está en los aspectos formales no respeta los márgenes"
2,16207092,10,9,3,2,0,24,"Muy buen ensayo! Planteas todo muy bien y me gusta que des tu opinión en el párrafo final, sobre qué harías y cómo lo harías. Para las referencias bibliográficas, debes usar la sangría francesa. El resto muy bien!"
