essay_number,alumni_number,e2_s1,e2_s2,e3_s1,e3_s2,adjustment,total
1,14209284,10,10,3,3,0,26,,
1,15638189,6,5,3,3,0,17,,
1,15639754,MU,MU,2,3,10,15,,
1,16624696,MU,MU,0,0,8,8,,
1,1720352J,5,MU,3,2,4,14,,
1,17638011,7,MU,3,3,5,18,,
2,12623547,MU,1,2,3,0,6,,
2,16637941,MU,9,3,2,6,20,"Aspectos formales (1 punto): El principal error es que no cumple con la extensión requerida. Fundamentación (3 puntos): efectivamente incluyes las lecturas mínimas requeridas. Agregar valor (2 puntos): las ideas que planteas no las desarrollas lo suficiente como para que realmente sean un valor agregado a lo que se menciona. En general está bien, pero ten cuidado con el desarrollo de ideas (la conclusión no es del tema general, sino del ejemplo; no hay punto de vista diferente que sirva como contra-argument; etc.)",
3,11620617,7,8,3,3,0,21,,
3,15607011,MU,6,3,2,0,11,,
3,15639452,MU,MU,3,3,8,14,,Mati: ya estaba corregido y con ptje asignado
3,16624696,8,MU,3,3,7,21,"Corregí tu ensayo. Creo que es bastante bueno, sin embargo, hay temas planteados en el enunciado que no tratas en tu ensayo. Además, se aprecia un control de cambios que podría ser indicador de plagio o colaboración indebida. Por otra parte, te recomiendo usar más puntos seguidos. También, cabe mencionar que no incluyes en la bibliografía la definición de la RAE que usas en tu ensayo. Por lo anterior, los puntajes que te asigno son los siguientes: agrega valor (3), fundamentación (3), aspectos formales (1).",
3,16637356,4,5,3,3,0,15,,
3,16638530,9,MU,1,3,6,19,"No respondes a lo solicitado en el enunciado. Por ende, no agregas todo el valor esperado a tu ensayo. Además, cuando mencionas el documento ""Comportamientos Esatratégicos"" no está bien citado. Por otra parte, te recomiendo mejorar tu sintaxis y coherencia al escribir. Agrega valor 2/4; Fundamentación: 3/3; Aspectos formales: 1/3.",
3,16638794,9,1,0,0,0,10,"Corregí tu ensayo completamente. Creo que tu ensayo agrega valor ya que es bastante completo al responder a lo solicitado en el enunciado. Sin embargo, cometes 10 faltas ortográficas o de redacción. Cuando conjugas el verbo ser/estar en presente debes tildarlo. ""Él está..."". Por otra parte, deberías usar más puntos seguidos. Por lo anterior, mis puntajes son los siguientes: agrega valor (4), fundamentación (3) y aspectos formales (1).",
3,1664137J,10,10,3,2,0,25,,
4,13636375,7,7,3,2,0,19,,
4,15620867,7,MU,3,NC,7,17,,
4,15639452,9,9,3,3,0,24,,
4,16207203,MU,MU,3,3,-4,2,,
